,Unnamed: 0,Date,Home_Team,Away_Team,Field_Goal,Field_Goal_Attempts,Field_Goal_%,2Point,2Point_Attempts,2Point_%,3Point,3Point_Attempts,3Point_%,Free_Throw,Free_Throw_Attempt,Free_Throw_%,Points,Away_Field_Goal,Away_Field_Goal_Attempts,Away_Field_Goal_%,Away_2Point,Away_2Point_Attempts,Away_2Point_%,Away_3Point,Away_3Point_Attempts,Away_3Point_%,Away_Free_Throw,Away_Free_Throw_Attempt,Away_Free_Throw_%,Away_Points,Offensive_Efficiency,Away_Offensive_Efficiency,ielo,away_ielo,Away_ielo
806,806,2019-02-06,GSW,SAS,55,95,0.579,39,61,0.639,16,34,0.471,15,21,0.714,141,35,81,0.432,23,49,0.469,12,32,0.375,20,21,0.952,102,148.42105263157893,125.92592592592592,1500,1500,1500
807,807,2019-02-06,MIL,WAS,56,93,0.602,37,63,0.587,19,30,0.633,17,26,0.654,148,48,92,0.522,31,55,0.564,17,37,0.459,16,19,0.842,129,159.13978494623657,140.2173913043478,1500,1500,1500
808,808,2019-02-06,SAC,HOU,39,91,0.429,28,58,0.483,11,33,0.333,12,20,0.6,101,45,100,0.45,25,49,0.51,20,51,0.392,17,18,0.944,127,110.989010989011,127.0,1500,1500,1500
809,809,2019-02-06,UTA,PHO,42,84,0.5,31,56,0.554,11,28,0.393,21,32,0.656,116,35,75,0.467,32,58,0.552,3,17,0.176,15,19,0.789,88,138.0952380952381,117.33333333333331,1500,1500,1500
810,810,2019-02-07,ATL,TOR,36,80,0.45,20,45,0.444,16,35,0.457,13,25,0.52,101,40,87,0.46,27,47,0.574,13,40,0.325,26,33,0.788,119,126.25,136.7816091954023,1500,1500,1500
811,811,2019-02-07,BOS,LAL,46,94,0.489,30,56,0.536,16,38,0.421,20,20,1.0,128,50,97,0.515,28,56,0.5,22,41,0.537,7,18,0.389,129,136.17021276595744,132.98969072164948,1500,1500,1500
812,812,2019-02-07,IND,LAC,49,87,0.563,40,65,0.615,9,22,0.409,9,11,0.818,116,37,85,0.435,31,68,0.456,6,17,0.353,12,19,0.632,92,133.33333333333331,108.23529411764706,1500,1500,1500
813,813,2019-02-07,OKC,MEM,43,90,0.478,26,46,0.565,17,44,0.386,14,22,0.636,117,34,77,0.442,27,53,0.509,7,24,0.292,20,23,0.87,95,130.0,123.3766233766234,1500,1500,1500
814,814,2019-02-07,ORL,MIN,45,83,0.542,34,57,0.596,11,26,0.423,21,23,0.913,122,46,99,0.465,36,73,0.493,10,26,0.385,10,12,0.833,112,146.9879518072289,113.13131313131312,1500,1500,1500
815,815,2019-02-07,POR,SAS,49,91,0.538,38,60,0.633,11,31,0.355,18,18,1.0,127,48,91,0.527,36,70,0.514,12,21,0.571,10,14,0.714,118,139.56043956043956,129.67032967032966,1500,1500,1500
816,816,2019-02-08,BRK,CHI,39,94,0.415,26,53,0.491,13,41,0.317,15,16,0.938,106,46,85,0.541,32,57,0.561,14,28,0.5,19,24,0.792,125,112.7659574468085,147.05882352941177,1500,1500,1500
